Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
DET,72.0,58.4,50.9,60.4
LAR,14.6,25.0,16.1,18.6
PIT,4.7,4.0,6.7,5.1
CAR,2.9,6.2,5.3,4.8
TB,0.0,0.5,9.8,3.4
NE,1.2,1.0,1.5,1.2
CHI,0.9,1.3,0.6,0.9
NYG,0.6,0.6,1.4,0.9
SEA,0.7,0.5,1.3,0.8
TEN,0.3,0.6,0.9,0.6
NYJ,0.8,0.5,0.4,0.6
JAX,0.5,0.5,0.7,0.6
GB,0.1,0.1,1.4,0.5
NO,0.1,0.1,0.6,0.3
MIN,0.1,0.0,0.6,0.2
SF,0.2,0.2,0.2,0.2
HOU,0.0,0.0,0.3,0.1
WAS,0.0,0.0,0.3,0.1
LAC,0.0,0.0,0.3,0.1
ATL,0.0,0.1,0.2,0.1
BUF,0.0,0.0,0.1,0.1
ARI,0.0,0.0,0.2,0.1
DAL,0.1,0.0,0.1,0.1
CLE,0.0,0.0,0.1,0.0
CIN,0.0,0.0,0.1,0.0
MIA,0.0,0.0,0.0,0.0
DEN,0.0,0.0,0.0,0.0
IND,0.0,0.0,0.0,0.0
