Team,YahooYahoo,OfficeFootballPoolOFP,Average
BUF,27.8,32.7,30.3
MIA,23.9,24.1,24.0
LAR,18.4,18.1,18.2
KC,12.8,9.6,11.2
PHI,7.6,7.8,7.7
SF,2.9,2.7,2.8
LV,2.0,1.0,1.5
JAX,1.4,1.3,1.3
BAL,0.6,0.6,0.6
CIN,0.5,0.6,0.6
DET,0.4,0.3,0.4
MIN,0.4,0.3,0.4
ATL,0.4,0.2,0.3
NO,0.3,0.2,0.3
CHI,0.2,0.1,0.2
DAL,0.1,0.1,0.1
HOU,0.1,0.1,0.1
LAC,0.0,0.1,0.1
ARI,0.0,0.1,0.1
CAR,0.0,0.1,0.1
SEA,0.1,0.0,0.0
WAS,0.0,0.0,0.0
NE,0.0,0.0,0.0
TB,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
IND,0.0,0.0,0.0
DEN,0.0,0.0,0.0
TEN,0.0,0.0,0.0
NYG,0.0,0.0,0.0
CLE,0.0,0.0,0.0
GB,0.0,0.0,0.0
PIT,0.0,0.0,0.0
