Team,YahooYahoo,OfficeFootballPoolOFP,Average,24hr
ATL,21.6,25.8,23.7,-
TB,12.8,9.6,11.2,-
GB,13.9,8.4,11.2,-
DEN,8.8,13.5,11.1,-
BAL,11.3,4.7,8.0,-
LAC,6.0,4.4,5.2,-
IND,4.8,5.3,5.0,-
ARI,1.7,5.6,3.7,-
SEA,2.6,4.6,3.6,-
WSH,2.3,1.7,2.0,-
TEN,0.8,2.9,1.8,-
HOU,1.8,1.6,1.7,-
CIN,1.4,1.9,1.7,-
MIA,2.1,0.6,1.4,-
PHI,1.6,1.0,1.3,-
BUF,1.3,0.7,1.0,-
NYJ,0.7,1.1,0.9,-
LAR,0.7,1.0,0.8,-
DET,0.7,1.0,0.8,-
SF,0.8,0.7,0.8,-
PIT,0.6,0.8,0.7,-
MIN,0.2,0.8,0.5,-
NYG,0.3,0.7,0.5,-
NE,0.2,0.5,0.3,-
JAX,0.3,0.3,0.3,-
LV,0.2,0.3,0.2,-
KC,0.4,0.0,0.2,-
CHI,0.0,0.3,0.2,-
DAL,0.1,0.1,0.1,-
CAR,0.1,0.1,0.1,-
CLE,0.0,0.0,0.0,-
NO,0.0,0.0,0.0,-
