Team,Rating
Baltimore,9.9
Kansas City,8.4
New Orleans,6.9
San Francisco,3.7
Seattle,3.3
Tampa Bay,2.8
Dallas,2.4
Green Bay,2.2
New England,2.0
Pittsburgh,2.0
Tennessee,1.2
LA Rams,1.0
Buffalo,1.0
Minnesota,0.1
Philadelphia,0.0
Chicago,-0.2
Indianapolis,-0.3
Houston,-0.7
LA Chargers,-0.8
Arizona,-0.9
Atlanta,-0.9
Denver,-1.4
Las Vegas,-1.8
Cleveland,-1.8
Detroit,-2.8
Carolina,-4.2
NY Giants,-4.6
Cincinnati,-4.9
NY Jets,-5.1
Washington,-5.3
Jacksonville,-5.7
Miami,-5.7
