Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
IND,12.3,13.5,15.9,13.9
CLE,8.1,17.7,5.7,10.5
NE,7.5,4.6,18.1,10.1
BAL,9.6,9.5,8.2,9.1
NO,14.1,6.6,4.8,8.5
WAS,7.6,11.5,4.1,7.7
TEN,10.5,6.7,4.7,7.3
MIN,8.3,7.9,5.5,7.2
TB,7.8,6.3,6.6,6.9
DAL,4.5,4.0,2.6,3.7
LV,1.9,2.3,3.1,2.4
PHI,0.5,0.6,5.6,2.2
BUF,0.4,0.6,3.6,1.5
SEA,1.8,1.8,0.9,1.5
ARI,1.5,1.1,0.7,1.1
KC,0.9,0.3,2.1,1.1
GB,1.1,0.9,1.2,1.1
NYG,0.3,0.6,2.0,1.0
LAC,0.5,1.1,0.4,0.7
DEN,0.3,0.5,0.7,0.5
NYJ,0.4,0.7,0.4,0.5
PIT,0.1,0.1,0.7,0.3
DET,0.0,0.2,0.6,0.3
LAR,0.0,0.1,0.4,0.2
JAX,0.0,0.3,0.2,0.2
CHI,0.1,0.2,0.2,0.2
CIN,0.0,0.3,0.1,0.1
HOU,0.0,0.1,0.2,0.1
ATL,0.0,0.1,0.2,0.1
MIA,0.1,0.0,0.2,0.1
SF,0.0,0.0,0.2,0.1
CAR,0.1,0.0,0.1,0.1
