Team,YahooYahoo,OfficeFootballPoolOFP,Average
KC,25.3,22.9,24.1
HOU,16.8,16.8,16.8
WSH,12.1,16.3,14.2
MIA,9.9,17.5,13.7
TB,11.0,7.8,9.4
PIT,13.3,4.8,9.0
DEN,6.4,6.6,6.5
DET,2.5,2.8,2.7
GB,0.8,2.2,1.5
MIN,0.8,0.5,0.7
PHI,0.3,0.2,0.2
SEA,0.2,0.3,0.2
BAL,0.2,0.2,0.2
DAL,0.0,0.3,0.2
ARI,0.1,0.2,0.2
LV,0.0,0.2,0.1
SF,0.1,0.1,0.1
LAC,0.1,0.1,0.1
CHI,0.0,0.1,0.1
CLE,0.0,0.1,0.1
LAR,0.0,0.0,0.0
NE,0.0,0.0,0.0
TEN,0.0,0.0,0.0
NYG,0.0,0.0,0.0
IND,0.0,0.0,0.0
CAR,0.0,0.0,0.0
ATL,0.0,0.0,0.0
NO,0.0,0.0,0.0
BUF,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
CIN,0.0,0.0,0.0
JAX,0.0,0.0,0.0
