Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
NO,34.0,32.4,30.8,32.4
GB,13.7,19.8,17.5,17.0
DET,10.1,12.9,10.7,11.3
SEA,14.8,7.2,7.8,9.9
PIT,11.8,6.5,7.5,8.6
PHI,7.1,8.6,9.4,8.4
SD,3.5,4.2,5.6,4.4
DEN,1.8,4.0,4.5,3.4
DAL,0.9,1.5,1.7,1.4
SF,0.5,0.9,1.1,0.8
NYG,0.4,1.0,0.8,0.7
TEN,0.1,0.1,0.8,0.3
CLE,0.3,0.2,0.3,0.3
CIN,0.3,0.3,0.2,0.3
IND,0.1,0.1,0.3,0.2
CHI,0.1,0.1,0.2,0.1
NE,0.1,0.1,0.1,0.1
ATL,0.0,0.0,0.2,0.1
CAR,0.0,0.1,0.1,0.1
BUF,0.0,0.0,0.0,0.0
KC,0.0,0.0,0.0,0.0
BAL,0.0,0.0,0.0,0.0
HOU,0.0,0.0,0.0,0.0
TB,0.0,0.0,0.0,0.0
JAX,0.0,0.0,0.0,0.0
ARI,0.0,0.0,0.0,0.0
MIN,0.0,0.0,0.0,0.0
NYJ,0.0,0.0,0.0,0.0
STL,0.0,0.0,0.0,0.0
WAS,0.0,0.0,0.0,0.0
