Team,YahooYahoo,OfficeFootballPoolOFP,Average
GB,29.1,26.9,28.0
PIT,17.4,16.0,16.7
HOU,15.5,13.6,14.6
NO,13.8,14.3,14.1
BAL,8.9,15.8,12.3
SF,5.7,2.8,4.2
MIA,5.5,1.0,3.2
CIN,0.5,1.7,1.1
DET,1.1,0.6,0.9
MIN,0.4,1.2,0.8
CLE,0.5,0.9,0.7
NYJ,0.0,1.2,0.6
ATL,0.3,0.7,0.5
LAC,0.1,0.8,0.5
IND,0.1,0.8,0.5
NYG,0.0,0.4,0.2
DEN,0.2,0.2,0.2
PHI,0.1,0.2,0.2
KC,0.2,0.1,0.1
NE,0.1,0.1,0.1
TB,0.1,0.1,0.1
LV,0.1,0.1,0.1
JAX,0.1,0.1,0.1
CAR,0.0,0.1,0.1
LAR,0.0,0.1,0.1
TEN,0.0,0.1,0.1
DAL,0.1,0.0,0.0
BUF,0.1,0.0,0.0
CHI,0.0,0.0,0.0
ARI,0.0,0.0,0.0
SEA,0.0,0.0,0.0
WAS,0.0,0.0,0.0
