Team,Rating
New England,7.6
Seattle,5.7
Arizona,4.4
Denver,4.0
Kansas City,3.7
Buffalo,3.3
Pittsburgh,3.1
Dallas,2.9
Atlanta,1.7
Minnesota,1.6
Carolina,1.6
Las Vegas,1.6
Philadelphia,1.2
Cincinnati,0.9
LA Chargers,0.6
Green Bay,0.2
Miami,-0.3
New Orleans,-0.4
Baltimore,-0.5
Washington,-1.1
NY Giants,-1.3
Detroit,-1.4
Indianapolis,-1.4
Houston,-1.6
LA Rams,-2.1
Tampa Bay,-2.3
NY Jets,-2.7
Tennessee,-3.4
Jacksonville,-4.8
Chicago,-5.4
San Francisco,-6.5
Cleveland,-9.1
