Team,Rating
New England,9.3
Houston,5.7
Green Bay,5.2
Denver,5.0
NY Giants,4.7
Pittsburgh,4.4
Atlanta,3.7
Baltimore,3.6
San Francisco,3.0
Philadelphia,2.7
New Orleans,2.7
Chicago,2.3
NY Jets,1.4
LA Chargers,1.4
Detroit,0.9
Miami,0.3
Minnesota,-0.8
Seattle,-1.1
Cincinnati,-1.6
Arizona,-1.7
Washington,-1.9
Dallas,-2.0
Tampa Bay,-2.7
Cleveland,-3.0
Buffalo,-3.4
Indianapolis,-4.4
Tennessee,-4.5
Las Vegas,-4.6
Carolina,-4.7
LA Rams,-4.8
Kansas City,-6.6
Jacksonville,-8.4
